Location,Reports,Status,Phone,Source,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",35, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Miami, FL",29, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Tampa, FL",17, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Atlanta, GA",17, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Dallas, TX",17, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Brooklyn, NY",15, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Orlando, FL",15, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Denver, CO",15, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Toccoa, GA",14, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Houston, TX",14, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Sacramento, CA",13, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Boca Raton, FL",11, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Pahrump, NV",11, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Johnstown, PA",10, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Philadelphia, PA",9, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Detroit, MI",9, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Hialeah, FL",8, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Stone Mountain, GA",7, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Chicago, IL",7, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Jacksonville, FL",7, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Charlotte, NC",7, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
"Fort Lauderdale, FL",6, No problems detected ,50.87%,Is the service down,Thu 21 Mar 2019 19:12:30,MetroPCS,4.18%,31.36%,2.79%,10.80%
