Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:36:46
