Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
sumter,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
houston,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
chicago,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
atlanta,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
los-angeles,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
milwaukee,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
orlando,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
new-york,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:11
