Location,Bad signal ,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
tucson,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
seattle,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
portland,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
albuquerque,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
lincoln,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
phoenix,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
colorado-springs,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
irving,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:55:48
