Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
concord,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
lexington,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
atlanta,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
norcross,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
houston,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
grayson,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
dallas,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
blairsville,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
chicago,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:13:25
