Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,11:54:55
