Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
chicago,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
los-angeles,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
houston,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
brooklyn,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
milwaukee,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
new-york,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
saint-louis,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
dayton,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
medford,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:28:14
