Location,Bad signal ,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
albuquerque,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
seattle,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
chicago,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
spokane,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
phoenix,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
portland,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
minneapolis,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
boise,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
kennewick,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:05
