Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
new-york,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
houston,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
san-marcos,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
kansas-city,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
los-angeles,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
brooklyn,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
saint-louis,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
grand-junction,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:55:48
