Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
concord,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
lexington,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
atlanta,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
norcross,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
houston,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
grayson,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
dallas,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
blairsville,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
chicago,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:36:46
