Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Denver, CO",524, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Seattle, WA",334, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Portland, OR",282, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Minneapolis, MN",268, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Omaha, NE",260, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Dallas, TX",246, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Salt Lake City, UT",228, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Chicago, IL",210, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Los Angeles, CA",206, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Phoenix, AZ",147, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Des Moines, IA",135, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Tacoma, WA",122, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Albuquerque, NM",95, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Las Vegas, NV",80, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Houston, TX",78, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Saint Paul, MN",73, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Orlando, FL",68, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"West Jordan, UT",64, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Irving, TX",62, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Downey, CA",61, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Fort Worth, TX",58, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Detroit, MI",56, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Fullerton, CA",54, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Boise, ID",53, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Charlotte, NC",48, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Kingwood, TX",45, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Elkhorn, NE",45, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Colorado Springs, CO",43, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Auburn, WA",42, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Sandy, UT",42, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"West Des Moines, IA",41, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Atlanta, GA",41, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Aurora, CO",40, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Ogden, UT",38, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Lehi, UT",38, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Meridian, ID",36, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"St. Louis, MO",34, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Kansas City, MO",34, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Chandler, AZ",33, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"West Valley City, UT",32, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Tampa, FL",32, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Irvine, CA",31, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Bothell, WA",30, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Herriman, UT",29, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Lincoln, NE",27, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Tucson, AZ",26, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Mesa, AZ",26, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Salem, OR",25, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Oregon, WI",25, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
"Whitewater, WI",24, No problems detected ,8.69%,.86%,Thu 21 Mar 2019 13:36:47,CenturyLink,Is the service down,3.25%,75.19%,8.29%,3.71%
