Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Chicago, IL",1620, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Dallas, TX",1517, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Houston, TX",798, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Atlanta, GA",649, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Los Angeles, CA",639, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Detroit, MI",505, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Fort Worth, TX",344, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Orlando, FL",297, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Irving, TX",290, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Charlotte, NC",283, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Columbus, OH",266, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Cleveland, OH",263, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Austin, TX",241, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Miami, FL",197, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Center Line, MI",194, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Indianapolis, IN",193, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Sacramento, CA",168, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
"Milwaukee, WI",165, Problems detected ,36.53%,3.52%,Thu 21 Mar 2019 11:54:55,att,Is the service down,5.08%,43.29%,6.45%,5.13%
