Location,Bad signal ,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
albuquerque,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
seattle,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
chicago,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
spokane,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
phoenix,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
portland,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
minneapolis,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
boise,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
kennewick,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:51
