Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
evington,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
bethel,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
cumberland,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
bedford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
johnstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
bradford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
randallstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
bowie,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
lexington-park,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:36:46
