Location,Bad signal ,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
tucson,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
seattle,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
portland,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
albuquerque,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
lincoln,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
phoenix,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
colorado-springs,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
irving,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:51
