Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
concord,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
lexington,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
atlanta,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
norcross,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
houston,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
grayson,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
dallas,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
blairsville,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
chicago,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:27:17
