Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:11
