Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
houston,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
new-york,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
el-centro,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
brooklyn,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
chicago,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
pompano-beach,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
salt-lake-city,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
dallas,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
seattle,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:13:25
