Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
minneapolis,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
phoenix,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
seattle,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
portland,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
albuquerque,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
dallas,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
boise,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
des-moines,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
saint-paul,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:27:17
