Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:28:14
