Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
new-york,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
philadelphia,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
marco-island,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
brooklyn,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
charlotte,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
sumter,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
atlanta,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
tampa,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
indianapolis,52%,9%,37%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:36:46
