Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
concord,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
lexington,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
atlanta,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
norcross,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
houston,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
grayson,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
dallas,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
blairsville,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
chicago,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:37:59
