Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Irving, TX",216, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Norcross, GA",215, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Arlington, TX",213, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Durham, NC",205, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Trenton, MI",204, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Nashville, TN",196, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Saint Paul, MN",188, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Waianae, HI",169, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Plano, TX",160, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Denver, CO",157, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Portland, OR",157, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
"Birmingham, AL",152, Some problems detected ,4.75%,17.32%,Thu 21 Mar 2019 13:33:10,time-warner-cable,Is the service down,2.04%,62.95%,6.17%,6.78%
