Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Jersey City, NJ",38, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Cleveland, OH",37, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"St. Petersburg, FL",34, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"San Jose, CA",32, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Woodbridge, VA",32, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Las Vegas, NV",32, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Salt Lake City, UT",30, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Grand Rapids, MI",30, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Saint Paul, MN",29, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
"Roxbury, MA",29, Problems detected ,62.49%,3.05%,Thu 21 Mar 2019 13:15:02,Verizon,Is the service down,5.42%,21.68%,3.81%,3.55%
