Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
boise,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
houston,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
phoenix,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
meridian,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
idaho-falls,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
pocatello,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
sioux-city,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
prescott,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
rio-rancho,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,19:12:30
