Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
houston,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
brooklyn,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
phoenix,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
dayton,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
tampa,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
sumter,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
greenville,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
garland,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
tempe,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:51:59
