Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
houston,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
new-york,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
el-centro,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
brooklyn,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
chicago,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
pompano-beach,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
salt-lake-city,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
dallas,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
seattle,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:16
