Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:15:02
