Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:37:59
