Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
evington,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
bethel,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
cumberland,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
bedford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
johnstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
bradford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
randallstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
bowie,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
lexington-park,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:08
