Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,11:54:55
