Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
new-york,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
philadelphia,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
marco-island,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
brooklyn,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
charlotte,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
sumter,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
atlanta,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
tampa,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
indianapolis,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:33:10
