Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:16
