Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
minneapolis,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
seattle,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
portland,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
albuquerque,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
dallas,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
boise,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
des-moines,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
saint-paul,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:13:25
