Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Naples, FL",685, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Washington, D.C., DC",373, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Philadelphia, PA",356, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Brooklyn, NY",331, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"New York City, NY",253, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"East Lansing, MI",176, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Silver Spring, MD",168, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Los Angeles, CA",148, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Columbia, MD",143, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Charlotte, NC",126, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Baltimore, MD",125, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Hampstead, MD",121, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Atlanta, GA",120, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Pittsburgh, PA",111, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Alexandria, VA",107, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"The Bronx, NY",107, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Houston, TX",104, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Tampa, FL",95, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Denver, CO",91, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Chicago, IL",86, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Dallas, TX",85, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Buffalo, NY",84, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Richmond, VA",72, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Boston, MA",70, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Seattle, WA",66, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Minneapolis, MN",63, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
"Detroit, MI",63, Problems detected ,62.46%,3.05%,Thu 21 Mar 2019 13:37:59,Verizon,Is the service down,5.44%,21.70%,3.81%,3.54%
