Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
albuquerque,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
spokane,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
seattle,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
chicago,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
phoenix,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
portland,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
minneapolis,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
boise,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
kennewick,7%,88%,3%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,11:54:55
