Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
sumter,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
houston,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
chicago,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
atlanta,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
los-angeles,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
milwaukee,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
orlando,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
new-york,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:15:02
