Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
new-york,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
houston,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
san-marcos,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
kansas-city,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
los-angeles,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
brooklyn,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
saint-louis,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
grand-junction,,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:51:59
