Location,Bad signal ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
concord,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
lexington,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
atlanta,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
norcross,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
houston,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
grayson,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
dallas,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
blairsville,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
chicago,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:05
