Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
new-york,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
dallas,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
houston,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
san-marcos,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
kansas-city,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
los-angeles,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
brooklyn,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
saint-louis,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
grand-junction,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:27:17
