Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
new-york,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
dallas,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
houston,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
san-marcos,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
kansas-city,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
los-angeles,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
brooklyn,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
saint-louis,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:15:02
