Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:36:46
