Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Canton, GA",37, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Mobile, AL",34, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Council Bluffs, IA",33, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Marion, IA",33, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Ames, IA",32, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Metairie, LA",32, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Prior Lake, MN",28, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Austin, TX",26, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Columbia, MO",25, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Waterloo, IA",25, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
"Burlington, IA",25, No problems detected ,4.57%,11.97%,Thu 21 Mar 2019 11:54:55,Mediacom,Is the service down,1.60%,71.07%,4.71%,6.09%
