Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
chicago,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
los-angeles,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
houston,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
brooklyn,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
milwaukee,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
new-york,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
saint-louis,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
medford,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
dayton,,6%,75%,17%,No problems,charter-communications,Down detector,Thu 21 Mar 2019,17:58:42
