Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
chicago,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
los-angeles,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
houston,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
brooklyn,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
milwaukee,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
new-york,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
saint-louis,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
dayton,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
medford,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:53:32
