Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
boise,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
houston,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
phoenix,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
meridian,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
idaho-falls,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
pocatello,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
rio-rancho,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
sioux-city,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
prescott,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:51
