Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
houston,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
brooklyn,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
phoenix,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
dayton,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
tampa,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
sumter,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
greenville,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
garland,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
tempe,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:33:10
