Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,14:57,4.94,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,19:48,5.82,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,01:02,7.06,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,05:32,5.88,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,13:23,8.54,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,17:05,5.28,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,22:45,5.12,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,03:25,5.09,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,10:55,5.93,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,15:45,5.68,13:36:47,Thu 21 Mar 2019,Is it down right now?,Xfinity
