Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:08
