Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:13:25
