Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
sumter,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
houston,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
chicago,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
atlanta,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
los-angeles,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
phoenix,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
milwaukee,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
orlando,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
new-york,,26%,21%,51%,No problems,att,Down detector,Thu 21 Mar 2019,17:58:42
