Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
sumter,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
houston,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
chicago,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
atlanta,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
los-angeles,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
phoenix,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
milwaukee,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
orlando,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
new-york,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:28:14
