Location,Bad signal ,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
albuquerque,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
seattle,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
chicago,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
spokane,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
phoenix,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
portland,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
minneapolis,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
boise,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
kennewick,,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:53:32
