Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
evington,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
bethel,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
cumberland,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
bedford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
johnstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
bradford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
randallstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
bowie,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
lexington-park,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:13:25
