Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
houston,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
new-york,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
el-centro,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
brooklyn,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
chicago,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
pompano-beach,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
salt-lake-city,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
dallas,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
seattle,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:12:11
