Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
houston,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
new-york,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
el-centro,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
brooklyn,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
chicago,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
pompano-beach,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
salt-lake-city,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
dallas,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
seattle,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:37:59
