Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Austin, TX",13, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Kansas City, KS",13, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Atlanta, GA",10, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Kansas City, MO",10, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Provo, UT",7, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Lenexa, KS",6, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Louisville, KY",6, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Mountain View, CA",5, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Lee's Summit, MO",5, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Chicago, IL",5, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Charlotte, NC",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"St. Louis, MO",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Birmingham, AL",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Los Angeles, CA",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Huntsville, AL",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Durham, NC",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Overland Park, KS",4, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Shawnee, KS",3, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Salt Lake City, UT",3, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Houston, TX",3, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"San Antonio, TX",3, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Cary, NC",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Canton, GA",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Grandview, MO",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Concord, NC",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Dallas, TX",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Denver, CO",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Indianapolis, IN",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Brighton, NY",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Raleigh, NC",2, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Kiel, WI",1, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Five Forks, SC",1, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Wake Forest, NC",1, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
"Sandy, UT",1, No problems detected ,7.81%,17.19%,Thu 21 Mar 2019 11:54:55,Google-Fiber,Is the service down,1.56%,51.56%,10.94%,10.94%
