Location,Bad signal ,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
tucson,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
seattle,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
portland,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
albuquerque,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
lincoln,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
dallas,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
phoenix,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
colorado-springs,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
irving,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:05
