Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
concord,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
lexington,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
atlanta,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
norcross,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
houston,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
grayson,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
dallas,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
blairsville,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
chicago,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:33:10
