Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
houston,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
brooklyn,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
phoenix,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
dayton,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
tampa,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
sumter,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
greenville,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
garland,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
tempe,,64%,17%,17%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:55:48
