Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
new-york,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
dallas,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
houston,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
san-marcos,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
kansas-city,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
los-angeles,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
brooklyn,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
saint-louis,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
phoenix,38%,10%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:10:49
