Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
sumter,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
houston,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
chicago,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
atlanta,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
los-angeles,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
phoenix,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
milwaukee,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
orlando,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
new-york,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:37:59
