Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Dallas, TX",518, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Houston, TX",301, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Sacramento, CA",105, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Fort Worth, TX",97, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Irving, TX",95, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Austin, TX",94, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Silver Spring, MD",73, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Chicago, IL",64, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Hampstead, MD",59, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Columbia, MD",55, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Eureka, CA",55, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"San Antonio, TX",50, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Amarillo, TX",49, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Charleston, WV",40, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Los Angeles, CA",37, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Washington, D.C., DC",34, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Auburn, CA",33, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Phoenix, AZ",31, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Charlotte, NC",29, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"McKinleyville, CA",27, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Hyattsville, MD",25, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Greensburg, PA",24, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Round Rock, TX",23, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"College Station, TX",22, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Arlington, TX",21, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Arcata, CA",20, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Stockton, CA",19, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Kansas City, MO",18, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Katy, TX",18, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Danville, CA",17, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"St. Louis, MO",17, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Cabot, AR",17, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
"Marietta, OH",17, No problems detected ,3.96%,14.86%,Thu 21 Mar 2019 13:15:02,Suddenlink,Is the service down,2.90%,61.57%,6.95%,9.76%
