Location,Bad signal ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
concord,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
lexington,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
atlanta,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
norcross,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
houston,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
grayson,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
blairsville,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
chicago,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:51
